UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
488527,1,2,R,478,R,266098,R,69,R,0,R,5,R,0,R,30758,R,478,R,296930,R,297408,R,2113,R,3975758,R,3977871,1,R,124,R,1226,1,R,3,R,3,R,0,R,0,R,0,R,0,R,229175,1,R,56654,R,39675,R,675856,R,18371,R,733902,R,0,R,0,R,0,R,1019731,963077
488554,1,2,R,986,R,18717,R,39,R,35,R,0,R,0,R,6684,R,1021,R,25440,R,26461,R,1279,R,69585,R,70864,1,R,14,R,537,1,R,5.36,R,2,R,0,R,3.36,R,0,R,0,R,295443,2,Z,0,R,21514,R,606818,R,3780,R,632112,R,0,R,38303,R,38303,R,965858,965858
488563,2,2,R,3103,R,0,R,0,R,0,R,0,R,0,R,0,R,3103,R,0,R,3103,R,100,R,0,R,100,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488572,1,2,R,605,R,3238,R,34,R,1,R,1,R,0,R,7250,R,606,R,10523,R,11129,R,239,R,79235,R,79474,1,R,33,R,431,1,R,3.5,R,3,R,0,R,0,R,0.5,R,0,R,269580,2,Z,0,R,6500,R,631331,R,268,R,638099,R,0,R,0,R,0,R,907679,907679
488721,2,1,A,,R,9800,R,0,A,,R,0,A,,R,232,A,,R,10032,R,10032,A,,R,14317,R,14317,2,A,,A,,1,R,0.25,R,0.25,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488730,1,2,R,18986,R,1516409,R,529,R,3500,R,141334,R,2,R,198558,R,22488,R,1856830,R,1879318,R,3515,R,37132,R,40647,1,R,110,R,109,1,R,8,R,3.5,R,1,R,3.5,R,0,R,0,R,414799,2,Z,0,R,57034,R,98325,R,0,R,155359,R,0,R,36628,R,36628,R,606786,606786
488776,2,2,R,347,R,18,R,11,R,0,R,0,R,0,R,2662,R,347,R,2691,R,3038,R,22,R,70528,R,70550,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488785,2,2,R,10289,R,42,R,3,R,116,R,1,R,44,R,5288,R,10449,R,5334,R,15783,R,112,R,6055,R,6167,2,A,,A,,1,R,0.03,R,0.03,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488800,2,1,A,,R,5150,R,5,A,,R,0,A,,R,6068,A,,R,11223,R,11223,A,,R,33700,R,33700,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488846,2,1,A,,R,273145,R,57,A,,R,141039,A,,R,78498,A,,R,492739,R,492739,A,,R,290807,R,290807,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
